NAME,POS,TEAM,GP,FGM,FGA
Gerald Wallace,SF,BKN,69,2.6,6.6
Randy Foye,PG,UTAH,82,3.6,9.0
Iman Shumpert,SF,NY,45,2.4,6.1
E'Twaun Moore,SG,ORL,75,3.2,8.0
Jeremy Pargo,PG,CLE/PHI,39,2.5,6.4
Dorell Wright,SF,PHI,79,3.0,7.6
Marco Belinelli,SG,CHI,73,3.3,8.4
Lou Amundson,PF,NO/CHI/MIN,39,0.8,2.1
Perry Jones,SF,OKC,38,1.0,2.6
Omri Casspi,SF,CLE,43,1.5,3.7
Francisco Garcia,SG,HOU/SAC,58,2.0,5.2
Jameer Nelson,PG,ORL,56,5.5,13.9
Luke Walton,SF,CLE,50,1.4,3.6
Sam Young,SF,IND,56,1.0,2.6
Victor Claver,SF,POR,49,1.5,3.9
A.J. Price,PG,WSH,57,2.8,7.2
Darius Morris,PG,LAL,48,1.5,3.9
Grant Hill,SF,LAC,29,1.3,3.4
Rasheed Wallace,PF,NY,21,2.6,6.8
Jodie Meeks,SG,LAL,78,2.6,6.8
John Lucas,PG,TOR,63,2.0,5.3
Byron Mullens,C,CHA,53,4.1,10.6
Jae Crowder,SF,DAL,78,1.8,4.7
Mirza Teletovic,PF,BKN,53,1.3,3.5
Jerry Stackhouse,SF,BKN,37,1.8,4.6
Tony Wroten,PG,MEM,35,0.9,2.5
Alan Anderson,SG,TOR,65,3.6,9.5
Chris Duhon,PG,LAL,46,1.0,2.7
Will Barton,SG,POR,73,1.6,4.2
Chris Singleton,SF,WSH,57,1.6,4.2
Malcolm Lee,SG,MIN,16,1.8,4.8
Cartier Martin,PF,WSH,41,2.3,6.1
Marquis Teague,PG,CHI,48,0.9,2.4
Keith Bogans,SF,BKN,74,1.5,3.8
Anthony Tolliver,PF,ATL,62,1.3,3.5
Eric Maynor,PG,POR/OKC,64,1.7,4.4
Charlie Villanueva,PF,DET,69,2.5,6.7
Kirk Hinrich,SG,CHI,60,2.7,7.0
